model,parameter,group1,group2,n1,n2,U,p_uncorrected,p_bonferroni,significant,r_rank_biserial,mean1,mean2,std1,std2
WM-RL+M6b,capacity,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,249.0,0.9725015726493628,1.0,False,-0.00809716599190291,3.523111554292532,3.4423001502689563,1.206068560765269,1.025747660193807
WM-RL+M6b,kappa_total,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,295.0,0.27503292366746357,1.0,False,-0.19433198380566807,0.17091073740560275,0.12508338532949745,0.12970427491145747,0.04827053126094298
WM-RL+M6b,kappa_share,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,240.5,0.8903321171850236,1.0,False,0.02631578947368418,0.25437618391299155,0.27444346408073383,0.23930645427219285,0.26589859789557224
WM-RL+M6b,epsilon,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,242.0,0.9131302087844109,1.0,False,0.020242914979757054,0.018898706408575702,0.021694103341647623,0.02774693247806574,0.030228038027000234
WM-RL+M4 (LBA),alpha_pos,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,217.0,0.4978305324253519,1.0,False,0.12145748987854255,0.04344749556848538,0.010375745843305258,0.19113579898049932,0.01393598475704276
WM-RL+M4 (LBA),alpha_neg,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,264.5,0.648061156158312,1.0,False,-0.07085020242914974,0.002237739827601442,0.0018225287489525524,0.006132192399180998,0.0034896936648176067
WM-RL+M4 (LBA),phi,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,230.0,0.7045627891898323,1.0,False,0.06882591093117407,0.3090090504319983,0.36122934654335653,0.19479353299813748,0.3078115629460815
WM-RL+M4 (LBA),rho,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,328.0,0.05838953322220406,0.5838953322220406,False,-0.3279352226720649,0.8392321200407485,0.7725492976433211,0.23760873375055627,0.22648650584850236
WM-RL+M4 (LBA),capacity,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,200.0,0.28520198427302035,1.0,False,0.19028340080971662,2.2163589333081974,3.2219770936845036,1.4147820085120881,2.0919051639998525
WM-RL+M4 (LBA),kappa,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,265.0,0.6875748580133396,1.0,False,-0.07287449392712553,0.07853506006600816,0.06433506977113668,0.07192863411418692,0.044169340573447555
WM-RL+M4 (LBA),v_scale,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,240.0,0.8812621688775102,1.0,False,0.028340080971659964,0.5147168136721884,0.5111247812323327,0.07253442818784527,0.06638265424846573
WM-RL+M4 (LBA),A,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,245.0,0.9725024780508996,1.0,False,0.0080971659919028,0.19365976330276616,0.19431487948796228,0.0628832489157116,0.05495984712773552
WM-RL+M4 (LBA),delta,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,188.0,0.1788434911747655,1.0,False,0.23886639676113364,0.07975617210269358,0.09515387915541124,0.028592736591461037,0.03975782524139254
WM-RL+M4 (LBA),t0,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,191.5,0.17002924902794148,1.0,False,0.2246963562753036,0.06649976407736263,0.05944140271079701,0.037669041932203086,0.019675522779363314
