participant_id,alpha,phi,rho,capacity,kappa,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10074,0.009389957413077354,0.056832198053598404,0.0704168751835823,4.999999523162842,0.9044809341430664,0.08792579919099808,392.933349609375,797.86669921875,825.3171542623477,797.9850090779049,0.5011668782924266,0.1135883778333664,717,False,49,15,['alpha'],"v4.0-K[2,6]-phiapprox"
10075,0.011956543661653996,0.08290111273527145,0.17464934289455414,3.0,0.4858207702636719,0.1370350867509842,397.9408874511719,807.8817749023438,835.3322299459414,808.0000847614987,0.4948097550393975,0.18506571650505066,717,False,50,37,[],"v4.0-K[2,6]-phiapprox"
10076,0.0034403777681291103,0.1787475347518921,0.2250281125307083,2.0,0.6832207441329956,0.009258595295250416,485.98651123046875,983.9730224609375,1011.3646122811497,984.0925103698991,0.3769521322063427,0.014786552637815475,710,False,50,26,"['alpha', 'capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10077,0.1832423210144043,0.3958054780960083,0.8549525737762451,4.999999523162842,0.8412917852401733,0.1116054356098175,324.44525146484375,660.8905029296875,688.3576710760137,661.0084804577774,0.5892589780582627,0.06573468446731567,719,False,50,34,[],"v4.0-K[2,6]-phiapprox"
10078,0.015716776251792908,0.12069868296384811,0.10065894573926926,6.0,0.528975248336792,0.09561695903539658,368.5872802734375,749.174560546875,776.6417286932012,749.2925380749649,0.5333760765777704,8.912929843063466e-06,719,True,50,17,['capacity'],"v4.0-K[2,6]-phiapprox"
10079,0.013942491263151169,0.17052452266216278,0.34375035762786865,2.0,0.4822913408279419,0.036092255264520645,301.4823913574219,614.9647827148438,642.43195086117,615.0827602429337,0.618329487133812,8.307772077387199e-06,719,True,49,23,['capacity'],"v4.0-K[2,6]-phiapprox"
10081,0.007167479023337364,0.15358580648899078,0.12666085362434387,4.999999523162842,-0.6303509473800659,0.0010000000474974513,363.25958251953125,738.5191650390625,765.9612460408264,738.6376417668481,0.5381939644450197,0.044818002730607986,716,False,49,19,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10083,0.013240362517535686,0.20027244091033936,0.10590752959251404,5.0,0.24288058280944824,0.04767802357673645,399.00262451171875,810.0052490234375,837.3373903743015,810.1259386786099,0.48337433804036245,0.12115998566150665,703,False,49,38,[],"v4.0-K[2,6]-phiapprox"
10084,0.9567738175392151,0.7537035346031189,0.8433024287223816,6.0,1.0,0.046438779681921005,196.19854736328125,404.3970947265625,431.84754977016024,404.5154045857174,0.7509238298225076,7.460906090273056e-06,717,True,47,12,"['capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10086,0.0010000000474974513,0.050808269530534744,0.03001856990158558,4.009519577026367,1.0,0.0010000000474974513,409.32861328125,830.6572265625,857.3315454788135,830.7920580231741,0.4085921263660941,4.325059762777528e-06,630,True,50,7,"['alpha', 'kappa', 'epsilon']","v4.0-K[2,6]-phiapprox"
10087,0.017416058108210564,0.09815186262130737,0.2595677077770233,2.0,1.0,0.07672487944364548,306.6179504394531,625.2359008789062,652.6611986529438,625.3547127600943,0.6091096833642664,9.195351594826207e-06,714,True,50,41,"['capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10088,0.16856735944747925,0.22765153646469116,0.9990000128746033,5.436509132385254,1.0,0.06413145363330841,230.9757537841797,473.9515075683594,501.42701484042,474.0693196300705,0.7079955673693576,6.853639661130728e-06,720,True,49,19,"['rho', 'kappa']","v4.0-K[2,6]-phiapprox"
10089,0.010112706571817398,0.15828324854373932,0.16965806484222412,3.0,0.026775598526000977,0.0275555532425642,364.5344543457031,741.0689086914062,768.5109896931701,741.1873854191919,0.5365732404993451,0.49252399802207947,716,False,50,36,['alpha'],"v4.0-K[2,6]-phiapprox"
10092,0.013540433719754219,0.14020274579524994,0.22481118142604828,3.9083166122436523,-0.11519801616668701,0.07951634377241135,326.9664001464844,665.9328002929688,693.3580980670063,666.0516121741568,0.5831685669435617,9.749606761033647e-06,714,True,50,34,[],"v4.0-K[2,6]-phiapprox"
10093,0.008495666086673737,0.24784336984157562,0.09590694308280945,4.999999523162842,0.5052428245544434,0.0010000652400776744,494.085693359375,1000.17138671875,1027.5798541872218,1000.2905356549202,0.36834806262524966,0.046792592853307724,712,False,50,26,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10094,0.005932135041803122,0.17899176478385925,0.15171045064926147,3.0000014305114746,-0.04511970281600952,0.14164210855960846,549.5263061523438,1111.0526123046875,1138.4357454638803,1111.1722704243457,0.2944987307147927,1.2897093296051025,709,False,50,31,['alpha'],"v4.0-K[2,6]-phiapprox"
10095,0.006532338913530111,0.22486063838005066,0.17145313322544098,6.0,-0.31858307123184204,0.014684508554637432,422.1170654296875,856.234130859375,883.6425983278468,856.3532797955452,0.46035461912540887,0.00028715236112475395,712,False,50,22,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10097,0.010070998221635818,0.2610916495323181,0.2717532515525818,2.0,-0.5911535620689392,0.052831292152404785,458.9776306152344,929.9552612304688,957.4057162740664,930.0735710896237,0.4173229518406846,9.4385568445432e-06,717,True,50,29,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
