participant_id,alpha,phi,rho,capacity,kappa_total,kappa_share,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10084,0.9567742347717285,0.7537040114402771,0.8433024287223816,6.0,1.0,1.0,0.04643877223134041,196.1985626220703,406.3971252441406,438.42265612833796,406.55509421452143,0.7509238104513105,7.868470675020944e-06,717,True,49,5,"['capacity', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10086,0.0010000000474974513,0.051019735634326935,0.029302973300218582,4.103727340698242,1.0,0.875420868396759,0.0010000000474974513,408.87725830078125,831.7545166015625,862.8745553372615,831.9345809102442,0.4092442549507862,9.876197509584017e-06,630,True,49,10,"['alpha', 'kappa_total', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10087,0.016139434650540352,0.10024562478065491,0.25257059931755066,2.0,1.0,0.8863479495048523,0.073274165391922,306.42510986328125,626.8502197265625,658.8464004629396,627.0088599531914,0.6093555251806768,4.838309450860834e-06,714,True,49,37,"['capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10088,0.1685672402381897,0.22765155136585236,0.9990000128746033,5.4365081787109375,1.0,1.0,0.06413145363330841,230.97576904296875,475.9515380859375,508.0062965700082,476.108841456724,0.7079955480788738,5.948414127487922e-06,720,True,50,16,"['rho', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10089,0.008844908326864243,0.17369522154331207,0.17119991779327393,2.999999761581421,0.5810728073120117,0.08566956967115402,0.028883088380098343,359.3536682128906,732.7073364257812,764.7230975945058,732.8655285161767,0.5431594901681304,0.16471347212791443,716,False,50,37,['alpha'],"v4.0-K[2,6]-phiapprox-stickbreaking"
10092,0.011047695763409138,0.1705131232738495,0.28901419043540955,3.9342243671417236,0.9841150045394897,1.3360690331865044e-08,0.0802057534456253,320.64959716796875,655.2991943359375,687.2953750723146,655.4578345625664,0.5912215107221586,6.617777671635849e-06,714,True,50,21,['kappa_share'],"v4.0-K[2,6]-phiapprox-stickbreaking"
10093,0.008161962032318115,0.26209115982055664,0.09654592722654343,5.0,0.6746466159820557,0.7376038432121277,0.0010000000474974513,493.0526123046875,1000.105224609375,1032.0817699892589,1000.2643155184659,0.36966878018179683,0.1557793915271759,712,False,49,24,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10094,0.005444318056106567,0.18508371710777283,0.13836202025413513,2.999999761581421,0.29177582263946533,2.9571769648462334e-39,0.13068881630897522,547.8546142578125,1109.709228515625,1141.6562172013498,1109.8690002702613,0.29664490777718544,0.17738360166549683,709,False,49,27,"['alpha', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10095,0.033359549939632416,0.4987817406654358,0.8558923602104187,5.0,0.9121897220611572,3.4774251389535493e-07,0.04941387474536896,408.9459228515625,831.891845703125,863.8683910830089,832.0509366122159,0.47719294866769024,0.6424357891082764,712,False,48,16,['kappa_share'],"v4.0-K[2,6]-phiapprox-stickbreaking"
10097,0.010071002878248692,0.2610916495323181,0.27175331115722656,2.0,-0.5911532640457153,1.0,0.052831318229436874,458.9776306152344,931.9552612304688,963.9807921146661,932.1132302008496,0.4173229518406846,9.577704986440949e-06,717,True,49,14,"['alpha', 'capacity', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
