model,outcome,predictor,beta,se,ci_lower,ci_upper,t,p,r2,r2_adj,n,predictor_set
WM-RL,capacity,ies_total,0.0006361670762898306,0.005096193750537719,-0.009432351971571377,0.010704686124151038,0.1248318073116247,0.9008216470068475,0.00010250909683839904,-0.00647576386962978,154,IES-R
WM-RL,capacity,intercept,3.231957532836275,0.32671924499771227,2.586426000182253,3.877489065490297,9.89215536678565,4.2558010273645775e-18,0.002538926127853003,-0.010672478824095943,154,LESS + IES-R
WM-RL,capacity,lec_total,-0.017507551572546177,0.028827641032373036,-0.07446517370024802,0.039450070555155675,-0.6073182177093659,0.5445519344386238,0.002538926127853003,-0.010672478824095943,154,LESS + IES-R
WM-RL,capacity,ies_total,0.0010144506557315457,0.005144653236016724,-0.009150349671358474,0.011179250982821565,0.19718542906440661,0.8439476050973309,0.002538926127853003,-0.010672478824095943,154,LESS + IES-R
WM-RL,epsilon,intercept,0.11521466997835837,0.023929821734336294,0.06793666648434565,0.1624926734723711,4.814689856758932,3.5291613989806905e-06,0.017113385160252514,0.010647025852096315,154,LESS
WM-RL,epsilon,lec_total,-0.0037055419357393065,0.0022777900240299512,-0.008205757855032789,0.0007946739835541761,-1.6268145424499327,0.10584780577143828,0.017113385160252514,0.010647025852096315,154,LESS
WM-RL,epsilon,intercept,0.0580442225800051,0.015169223411967707,0.02807447999544506,0.08801396516456514,3.8264465492815742,0.00018942379868111547,0.016530988131503777,0.01006079726394793,154,IES-R
WM-RL,epsilon,ies_total,0.0006499503457156973,0.00040662054510173714,-0.00015340739616304631,0.001453308087594441,1.598419837721379,0.11202626312886733,0.016530988131503777,0.01006079726394793,154,IES-R
WM-RL,epsilon,intercept,0.09679011292084999,0.025810251689602635,0.04579424540930529,0.1477859804323947,3.7500646675150704,0.0002513532389912361,0.03827827005693962,0.025540233898753373,154,LESS + IES-R
WM-RL,epsilon,lec_total,-0.0042081661607471866,0.0022773334661332066,-0.008707719172286372,0.00029138685079199873,-1.8478480307464296,0.06658073655906727,0.03827827005693962,0.025540233898753373,154,LESS + IES-R
WM-RL,epsilon,ies_total,0.0007408756902207053,0.00040641865121306245,-6.212584346178599e-05,0.0015438772239031967,1.82293722989673,0.0702908510298855,0.03827827005693962,0.025540233898753373,154,LESS + IES-R
WM-RL+K,alpha_pos,intercept,0.054109016672764694,0.0215267600360371,0.011574176760835622,0.09664385658469377,2.513569927949349,0.013007613412824337,0.009469439984797101,-0.010341171215507039,154,
WM-RL+K,alpha_pos,ies_intrusion,0.0008622305545871688,0.002946975595853024,-0.0049607142352524605,0.0066851753444267985,0.2925815048487328,0.7702463759544693,0.009469439984797101,-0.010341171215507039,154,
WM-RL+K,alpha_pos,ies_avoidance,-0.0007293366951505735,0.002214100602206762,-0.00510418987817084,0.0036455164878696935,-0.3294054002892435,0.7423088009013802,0.009469439984797101,-0.010341171215507039,154,
WM-RL+K,alpha_pos,ies_hyperarousal,-0.001877481471717011,0.0029870749202643965,-0.007779658730426035,0.004024695786992012,-0.6285351127218558,0.5306093546405103,0.009469439984797101,-0.010341171215507039,154,
WM-RL+K,alpha_neg,intercept,0.021644448773866086,0.017250471765699344,-0.012440850348293439,0.05572974789602561,1.2547163386513103,0.21153322618580817,0.011578199175986792,-0.008190236840493581,154,
WM-RL+K,alpha_neg,ies_intrusion,0.00026348576881313386,0.0023615592511536266,-0.004402731744746625,0.004929703282372892,0.11157279610258371,0.9113113016396375,0.011578199175986792,-0.008190236840493581,154,
WM-RL+K,alpha_neg,ies_avoidance,0.0007893434576345652,0.001774269786110224,-0.0027164456711722103,0.004295132586441341,0.4448835593176969,0.6570451960366857,0.011578199175986792,-0.008190236840493581,154,
WM-RL+K,alpha_neg,ies_hyperarousal,-0.002445331061755824,0.0023936928496340296,-0.00717504152385359,0.0022843794003419423,-1.021572614101132,0.308627989589405,0.011578199175986792,-0.008190236840493581,154,
WM-RL+K,phi,intercept,0.18082160586068585,0.026807830930885217,0.12785186981483465,0.23379134190653705,6.7451039335063045,3.106140030623976e-10,0.06625461993986659,0.04757971233866387,154,
WM-RL+K,phi,ies_intrusion,5.955007065886381e-05,0.003669944915018257,-0.007191913650987032,0.007311013792304759,0.016226420842223338,0.9870753201737781,0.06625461993986659,0.04757971233866387,154,
WM-RL+K,phi,ies_avoidance,0.000488747429701327,0.0027572767341005225,-0.0049593703679383545,0.005936865227341008,0.1772573001675024,0.859545418344773,0.06625461993986659,0.04757971233866387,154,
WM-RL+K,phi,ies_hyperarousal,0.005937962467181245,0.0037198816406315504,-0.0014121714968109936,0.013288096431173483,1.5962772584810294,0.11253155954773335,0.06625461993986659,0.04757971233866387,154,
WM-RL+K,rho,intercept,0.8386838274327004,0.03285521855568048,0.7737650259410768,0.9036026289243241,25.52665495167424,1.8497301254555455e-56,0.02376132312707102,0.004236549589612393,154,
WM-RL+K,rho,ies_intrusion,0.005717264770722334,0.004497821647006765,-0.0031700049989768905,0.014604534540421557,1.2711186034971151,0.20565409200096382,0.02376132312707102,0.004236549589612393,154,
