participant_id,alpha,phi,rho,capacity,kappa_s,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10102,0.012674408033490181,0.28553029894828796,0.35841137170791626,2.0,1.0,0.14920641481876373,445.05902099609375,902.1180419921875,929.5601229939514,902.2365187199731,0.4342036605100813,8.849076948536094e-06,716,True,47,34,"['capacity', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10103,0.5372350811958313,0.9990000128746033,0.8470297455787659,2.0,1.0,0.07840915769338608,244.6443328857422,501.2886657714844,528.7558339178106,501.4066432995743,0.690285301301034,9.372962267661933e-06,719,True,49,10,"['phi', 'capacity', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10104,0.004470368847250938,0.11037943512201309,0.1721142828464508,2.0,1.0,0.19005456566810608,538.6187744140625,1089.237548828125,1116.6712440842891,1089.3561928959216,0.3143049836792291,4.829333647649037e-06,715,True,50,35,"['alpha', 'capacity', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10106,0.008386806584894657,0.1505032479763031,0.20142100751399994,2.00000262260437,0.6613128185272217,0.0928054228425026,436.5252685546875,885.050537109375,912.5177052557012,885.1685146374649,0.44736797934312766,7.767849638184998e-06,719,True,50,37,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10107,0.004349435679614544,0.14204782247543335,0.30426785349845886,2.0598342418670654,0.9648547172546387,0.0623328872025013,377.4715576171875,766.943115234375,794.3684130084125,767.0619271155631,0.5187823267799769,6.4426408243889455e-06,714,True,50,32,['alpha'],"v4.0-K[2,6]-phiapprox"
10109,0.0010000000474974513,0.11200319230556488,0.2973271608352661,2.999999761581421,1.0,0.07265885919332504,330.596435546875,673.19287109375,700.6600392400762,673.3108486218399,0.5814717053994762,0.02936425805091858,719,False,45,17,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10110,0.0010000000474974513,0.11200319230556488,0.2973271608352661,2.999999761581421,1.0,0.07265885919332504,330.596435546875,673.19287109375,700.6600392400762,673.3108486218399,0.5814717053994762,0.02936425805091858,719,False,45,17,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10111,0.0036170780658721924,0.21069537103176117,0.26656460762023926,2.0,0.7221192121505737,0.15450914204120636,557.4203491210938,1126.8406982421875,1154.2575867646733,1126.959678412159,0.2883788674753913,9.21487753657857e-06,713,True,50,25,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10112,0.0010000000474974513,0.09908484667539597,0.12199722975492477,2.0,1.0,0.0010000000474974513,487.22637939453125,986.4527587890625,1013.8189427844419,986.5727587890625,0.37271207528674377,2.9139268917788286e-06,707,True,49,23,"['alpha', 'capacity', 'kappa_s', 'epsilon']","v4.0-K[2,6]-phiapprox"
10114,0.008019951172173023,0.11405301839113235,0.08831357955932617,2.0,0.3978928327560425,0.015376877039670944,466.1736145019531,944.3472290039062,971.730362163099,944.4668871235643,0.40150985847941445,6.559776375070214e-05,709,True,50,31,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10115,0.35041481256484985,0.9987856149673462,0.8058243989944458,6.0,1.0,0.133365660905838,355.2500305175781,722.5000610351562,749.9000956139757,722.6193792169744,0.545200403604106,8.6185418695095e-06,711,True,50,32,"['phi', 'capacity', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10116,0.004527181386947632,0.11949348449707031,0.21743367612361908,4.5534796714782715,1.0,0.1124352514743805,361.8968505859375,735.793701171875,763.2525185861643,735.9118446317906,0.5412079256322676,8.406914275838062e-06,718,True,49,26,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10117,0.04688354209065437,0.5765605568885803,0.7371826767921448,2.0,0.8685190677642822,0.05376775935292244,279.5230712890625,571.046142578125,598.479837834289,571.1647866459216,0.6441498402314482,9.724793926579878e-06,715,True,49,15,['capacity'],"v4.0-K[2,6]-phiapprox"
10120,0.0010000000474974513,0.03780714422464371,0.12753722071647644,2.738891124725342,0.6127786636352539,0.007514588069170713,354.9392395019531,721.8784790039062,749.3121742600703,721.9971230717028,0.5481403931975166,3.6022374843014404e-06,715,True,50,23,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10121,0.00709623284637928,0.2776668071746826,0.33819979429244995,2.999999761581421,0.9565024375915527,0.1569923311471939,498.3244934082031,1008.6489868164062,1036.0490213952257,1008.7683049982244,0.3620330499450165,0.032454825937747955,711,False,50,34,['alpha'],"v4.0-K[2,6]-phiapprox"
10125,0.008502863347530365,0.17394296824932098,0.09464966505765915,3.239011287689209,0.8005090951919556,0.05420525372028351,427.27374267578125,866.5474853515625,893.9979403951602,866.6657952107174,0.45757137923130065,8.428911314695142e-06,717,True,50,36,['alpha'],"v4.0-K[2,6]-phiapprox"
10126,0.47593584656715393,0.274867445230484,0.9490822553634644,5.0,1.0,0.08003097772598267,256.7305908203125,525.461181640625,552.9283497869512,525.5791591687149,0.6749843470935574,0.20586462318897247,719,False,47,11,['kappa_s'],"v4.0-K[2,6]-phiapprox"
10128,0.006188313942402601,0.016467515379190445,0.061674077063798904,4.402123928070068,1.0,0.17024727165699005,468.0464172363281,948.0928344726562,975.4420212895299,948.2131783121978,0.3956961576586421,6.143774044176098e-06,705,True,50,22,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10130,0.004996407311409712,0.1514718383550644,0.17069514095783234,2.0,0.48897266387939453,0.2018955945968628,593.2992553710938,1198.5985107421875,1226.0153992646733,1198.717490912159,0.2425746769042597,9.141215741692577e-06,713,True,50,35,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10135,0.0025002313777804375,0.07019450515508652,0.1273869425058365,3.0,1.0,0.08703871071338654,420.685546875,853.37109375,880.7117638869482,853.4916102492826,0.4560731721014373,0.01106868777424097,704,False,47,35,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10137,0.0027018841356039047,0.10721872001886368,0.2221282720565796,4.999999046325684,1.0,0.0371251218020916,238.16226196289062,488.32452392578125,515.7833413400706,488.44266738569684,0.6980715415866299,0.028442593291401863,718,False,48,7,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10139,0.0035114469937980175,0.4183593690395355,0.5021301507949829,2.0,0.817347526550293,0.16630330681800842,600.1510009765625,1212.302001953125,1239.6511887699985,1212.4223457926666,0.2251333574635057,4.7058347263373435e-06,705,True,50,16,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10140,0.1147681400179863,0.6792200803756714,0.8448814153671265,5.000000476837158,1.0,0.09983929246664047,375.33929443359375,762.6785888671875,790.1122841233515,762.7972329349841,0.5221698614155285,1.080037236213684,715,False,48,26,['kappa_s'],"v4.0-K[2,6]-phiapprox"
10141,0.0034341448917984962,0.10359051823616028,0.2401319295167923,2.0,1.0,0.07965604960918427,401.6939392089844,815.3878784179688,842.8299594197326,815.5063551457544,0.4893329880359305,8.869988050719257e-06,716,True,49,33,"['alpha', 'capacity', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10142,0.016394006088376045,0.16758467257022858,0.567902684211731,2.0,-0.11209374666213989,0.04375358298420906,249.5101318359375,511.020263671875,538.4874318182012,511.1382411999649,0.6841252998082004,7.956665285746567e-06,719,True,50,21,['capacity'],"v4.0-K[2,6]-phiapprox"
