model,parameter,predictor,n,rho,p_uncorrected,p_fwe,significant
WM-RL+M5,alpha_neg,ies_intrusion,154,-0.04689069643666115,0.563618559416815,1.0,False
WM-RL+M5,alpha_neg,ies_avoidance,154,-0.055811716243258376,0.4917686967323929,1.0,False
WM-RL+M5,alpha_neg,ies_hyperarousal,154,-0.014845137685752992,0.8550079548460469,1.0,False
WM-RL+M5,phi,lec_total,154,0.13811612802018464,0.08759767936611357,1.0,False
WM-RL+M5,phi,lec_personal,154,0.14619661612878598,0.07041925256205607,1.0,False
WM-RL+M5,phi,ies_intrusion,154,0.17600848600834643,0.028999922252411242,1.0,False
WM-RL+M5,phi,ies_avoidance,154,0.13692977006459148,0.09038026899382444,1.0,False
WM-RL+M5,phi,ies_hyperarousal,154,0.21400972607724936,0.007696461793919087,0.30785847175676345,False
WM-RL+M5,rho,lec_total,154,-0.09630535097725353,0.234776360911556,1.0,False
WM-RL+M5,rho,lec_personal,154,0.05810116500082108,0.4741475444929685,1.0,False
WM-RL+M5,rho,ies_intrusion,154,-0.1491147988584598,0.06493250195527316,1.0,False
WM-RL+M5,rho,ies_avoidance,154,-0.07629485052929806,0.3469857880474969,1.0,False
WM-RL+M5,rho,ies_hyperarousal,154,-0.20697518221120006,0.010008976520409626,0.40035906081638506,False
WM-RL+M5,capacity,lec_total,154,-0.06660876567136648,0.4117769875627165,1.0,False
WM-RL+M5,capacity,lec_personal,154,-0.13091057305848072,0.10559929722654654,1.0,False
WM-RL+M5,capacity,ies_intrusion,154,-0.10868518809140705,0.17968123158267874,1.0,False
WM-RL+M5,capacity,ies_avoidance,154,-0.12586301688108473,0.1198543067360705,1.0,False
WM-RL+M5,capacity,ies_hyperarousal,154,-0.049621673115128884,0.5411013521377054,1.0,False
WM-RL+M5,kappa,lec_total,154,0.16509545924874908,0.04074146793793115,1.0,False
WM-RL+M5,kappa,lec_personal,154,-0.05244930264829752,0.5182659795428888,1.0,False
WM-RL+M5,kappa,ies_intrusion,154,-0.06426214961234004,0.428480875640357,1.0,False
WM-RL+M5,kappa,ies_avoidance,154,-0.010831281848287376,0.8939391467113748,1.0,False
WM-RL+M5,kappa,ies_hyperarousal,154,-0.018573488239159372,0.8191543616665361,1.0,False
WM-RL+M5,phi_rl,lec_total,154,0.020483068119688513,0.8009300054637188,1.0,False
WM-RL+M5,phi_rl,lec_personal,154,-0.08706028043584631,0.2829897427333624,1.0,False
WM-RL+M5,phi_rl,ies_intrusion,154,0.15715243744233173,0.05160269810669098,1.0,False
WM-RL+M5,phi_rl,ies_avoidance,154,0.1274253877176873,0.1152908837153781,1.0,False
WM-RL+M5,phi_rl,ies_hyperarousal,154,0.20149789763070988,0.01221372807728657,0.4885491230914628,False
WM-RL+M5,epsilon,lec_total,154,-0.2807044490806947,0.00042150721821873025,0.01686028872874921,True
WM-RL+M5,epsilon,lec_personal,154,-0.21402323579843818,0.0076925204383836415,0.30770081753534567,False
WM-RL+M5,epsilon,ies_intrusion,154,-0.11245877625284663,0.1649496791560877,1.0,False
WM-RL+M5,epsilon,ies_avoidance,154,-0.006736123976095382,0.9339207367612914,1.0,False
WM-RL+M5,epsilon,ies_hyperarousal,154,-0.05867004009835967,0.4698230028953516,1.0,False
WM-RL+M6a,alpha_pos,lec_total,154,-0.08127237972266114,0.3163410503307858,1.0,False
WM-RL+M6a,alpha_pos,lec_personal,154,0.028237192877309296,0.7281190246641159,1.0,False
WM-RL+M6a,alpha_pos,ies_intrusion,154,0.027847284367081115,0.7317288502207375,1.0,False
WM-RL+M6a,alpha_pos,ies_avoidance,154,0.04842896778897013,0.5508804225555315,1.0,False
WM-RL+M6a,alpha_pos,ies_hyperarousal,154,-0.0344013569775837,0.6718890377774434,1.0,False
WM-RL+M6a,alpha_neg,lec_total,154,-0.10637412197554014,0.189168856340687,1.0,False
WM-RL+M6a,alpha_neg,lec_personal,154,0.06037676265934856,0.4569790780758438,1.0,False
WM-RL+M6a,alpha_neg,ies_intrusion,154,0.030125813484121626,0.7107195991036979,1.0,False
WM-RL+M6a,alpha_neg,ies_avoidance,154,0.04045305355453174,0.6183972632072303,1.0,False
WM-RL+M6a,alpha_neg,ies_hyperarousal,154,0.03119665866204182,0.7009193803000896,1.0,False
WM-RL+M6a,phi,lec_total,154,0.037890729679204135,0.6408231483321403,1.0,False
WM-RL+M6a,phi,lec_personal,154,0.07410494520694531,0.3610414754292115,1.0,False
WM-RL+M6a,phi,ies_intrusion,154,0.2568530495244312,0.001301642888302784,0.04555750109059744,True
WM-RL+M6a,phi,ies_avoidance,154,0.2161808738570505,0.007085568804150503,0.2479949081452676,False
WM-RL+M6a,phi,ies_hyperarousal,154,0.20879974946603158,0.009356803038172117,0.3274881063360241,False
WM-RL+M6a,rho,lec_total,154,0.07829245673794048,0.33446946053708104,1.0,False
WM-RL+M6a,rho,lec_personal,154,0.021088412853707904,0.7951746296873305,1.0,False
WM-RL+M6a,rho,ies_intrusion,154,-0.059073947515778935,0.4667656813944654,1.0,False
WM-RL+M6a,rho,ies_avoidance,154,-0.06902302565576923,0.3949973658960627,1.0,False
WM-RL+M6a,rho,ies_hyperarousal,154,-0.07686048212141951,0.34341214128880426,1.0,False
WM-RL+M6a,capacity,lec_total,154,-0.14312842151590813,0.0765881755878223,1.0,False
WM-RL+M6a,capacity,lec_personal,154,-0.09459629003919948,0.24322502748917318,1.0,False
WM-RL+M6a,capacity,ies_intrusion,154,-0.08654478681462423,0.28586066512691516,1.0,False
WM-RL+M6a,capacity,ies_avoidance,154,-0.15580142139377542,0.05366982553967466,1.0,False
WM-RL+M6a,capacity,ies_hyperarousal,154,-0.0858046159224898,0.2900168441044954,1.0,False
WM-RL+M6a,kappa_s,lec_total,154,0.27031937648177173,0.0006974154929414914,0.0244095422529522,True
WM-RL+M6a,kappa_s,lec_personal,154,0.05677759889870302,0.4842924633336171,1.0,False
WM-RL+M6a,kappa_s,ies_intrusion,154,0.0412965802519798,0.6110895820295534,1.0,False
