participant_id,alpha,phi,rho,capacity,kappa,phi_rl,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10084,0.9806069731712341,0.9990000128746033,0.8307420611381531,6.0,1.0,0.0010000000474974513,0.04721454903483391,197.4416046142578,408.8832092285156,440.90874011271296,409.04117819889643,0.7493457552468008,8.412170245719608e-06,717,True,50,1,"['phi', 'capacity', 'kappa', 'phi_rl']","v4.0-K[2,6]-phiapprox"
10086,0.0010000000474974513,0.04447915777564049,0.03196544200181961,4.415990829467773,1.0,0.0998130738735199,0.0010000000474974513,403.0986633300781,820.1973266601562,851.3173653958553,820.377390968838,0.41759330862875854,7.223184184113052e-06,630,True,47,13,"['alpha', 'kappa', 'epsilon']","v4.0-K[2,6]-phiapprox"
10087,0.03841424360871315,0.10649530589580536,0.2039119005203247,2.0,1.0,0.04016973450779915,0.06645461171865463,304.09405517578125,622.1881103515625,654.1842910879396,622.3467505781914,0.6123272582562718,9.961422620108351e-06,714,True,47,17,"['capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10088,0.07176404446363449,0.10418909043073654,0.2686469256877899,2.0,1.0,0.07415973395109177,0.040588486939668655,228.6513214111328,471.3026428222656,503.3574013063363,471.45994619305213,0.7109341639326751,7.993578947207425e-06,720,True,49,4,"['capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10089,0.034872788935899734,0.17165414988994598,0.08526530116796494,3.0,0.024367094039916992,0.04763436317443848,0.019511429592967033,359.75665283203125,733.5133056640625,765.5290668327871,733.671497754458,0.5426471823356316,0.26531147956848145,716,False,49,20,[],"v4.0-K[2,6]-phiapprox"
10092,0.066349558532238,0.1468307226896286,0.12921690940856934,2.999999761581421,-0.08256793022155762,0.06907129287719727,0.07050338387489319,323.74847412109375,661.4969482421875,693.4931289785646,661.6555884688164,0.5872709233815083,0.05292554199695587,714,False,50,18,[],"v4.0-K[2,6]-phiapprox"
10093,0.06236950308084488,0.8832516074180603,0.6776487231254578,2.0,0.5262941122055054,0.07217593491077423,0.0010000000474974513,491.1542053222656,996.3084106445312,1028.2849560244151,996.4675015536221,0.3720957527990759,0.0029233365785330534,712,False,47,11,"['capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10094,0.07959268242120743,0.8771803975105286,0.4572497308254242,5.000000476837158,-0.13257360458374023,0.08339599519968033,0.08563126623630524,538.0354614257812,1090.0709228515625,1122.0179115372873,1090.2306946061988,0.30925108278417957,0.17324398458003998,709,False,48,25,[],"v4.0-K[2,6]-phiapprox"
10095,0.10873742401599884,0.6406998038291931,0.529971182346344,5.0,-0.3842006325721741,0.0822780430316925,0.028707819059491158,411.14813232421875,836.2962646484375,868.2728100283214,836.4553555575284,0.47437758708445865,0.009736058302223682,712,False,50,26,[],"v4.0-K[2,6]-phiapprox"
10097,0.034370653331279755,0.4011407494544983,0.2904920279979706,2.0,-0.6573305130004883,0.04801420494914055,0.057147037237882614,451.7068786621094,917.4137573242188,949.4392882084161,917.5717262945996,0.42655324979718123,7.1420731728721876e-06,717,True,49,11,['capacity'],"v4.0-K[2,6]-phiapprox"
