participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa,v_scale,A,delta,t0,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10143,0.0059235051749799,0.001,0.214605331047319,0.7733846806652401,2.6964644734208987,0.0785658310573597,0.462752716214306,0.1880316567950027,0.077527488419592,0.050000000000129,272.5806801639304,565.1613603278608,610.7716669868266,565.4774522818839,0.6490613472336162,8.260232989195504e-05,,False,707,True,50,1,"['alpha_pos', 'alpha_neg', 't0']"
10145,0.0032009715673399,0.001,0.1190646591974969,0.6650724971518482,2.77306081457128,2.4777695290444418e-17,0.4074549421631576,0.1289911510438916,0.1044774063518875,0.0500000000000233,367.6963324435368,755.3926648870736,801.0874790912166,755.7060552004639,0.5305867808177709,8.271668584778616e-05,,False,713,True,50,1,"['alpha_pos', 'alpha_neg', 'kappa', 't0']"
10147,0.001,0.0010000000000001,0.1502443323850962,0.998999999999994,2.000000000000116,0.046633763846509,0.5372859764854501,0.1906310037199836,0.0957672381523517,0.05,233.5450394294457,487.09007885889145,532.5003788507905,487.4126595040527,0.6932440749310347,6.05046005767744,,False,693,False,50,1,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10148,0.0031351245170888,0.001000000173656,0.2526010846853424,0.6438660241376172,2.008930499086496,6.31660620818234e-14,0.4730497156331412,0.2319997523025071,0.0396624590110074,0.05,615.5159496873073,1251.0318993746146,1296.31147855084,1251.3587938768435,0.1808965467545937,0.0001082775180851,,False,684,True,50,3,"['alpha_pos', 'alpha_neg', 'kappa', 't0']"
10149,0.0056479563811927,0.0010000000000148,0.3829698339345161,0.6508913894146194,2.184820869090323,0.0050780394632411,0.460399085009155,0.2002895362574233,0.077781774844383,0.0500000000000684,606.5631197803672,1233.1262395607343,1278.6513184310802,1233.4450801404446,0.2123858130538615,0.0001746115053555,,False,701,True,50,3,"['alpha_pos', 'alpha_neg', 'kappa', 't0']"
10150,0.0178551744958013,0.001,0.2543800309069478,0.999,1.867741635489823,0.1382934765993268,0.3688384898494219,0.1516569568943548,0.0380121383212617,0.1255649042890766,200.1221561892036,420.2443123784072,465.9671378053473,420.5568123784072,0.7452321165306911,4.728774022411825e-05,,False,715,True,50,3,"['alpha_neg', 'rho']"
10151,0.0039394669509228,0.001,0.2442798108348353,0.7975130911369371,1.9894270910554408,0.0754590099148154,0.4995188132875106,0.1565039178776119,0.0890549300640123,0.05,254.38548493780735,528.7709698756148,574.4797994990106,529.0839143990856,0.6756979732844779,0.0001523543759004,,False,714,True,50,3,"['alpha_pos', 'alpha_neg', 't0']"
10152,0.003193621396487,0.0010000000000002,0.2473115265345309,0.999,1.4408323801134406,0.0839130774279551,0.5524810987531041,0.1664202018262074,0.0817743175788072,0.05,262.81820625819654,545.6364125163931,591.3592379433331,545.9489125163931,0.6654161667022189,0.0001789529567161,,False,715,True,50,1,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10154,0.0040054943283165,0.0010000000000006,0.2382496521207344,0.9989969106624264,1.6198674823470571,0.017364483184277,0.4169608461781517,0.135052180089133,0.1013075134038265,0.05,419.1866494214343,858.3732988428685,904.0961242698086,858.6857988428685,0.4663494663193546,0.0001281746272291,,False,715,True,50,4,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10155,0.0085503042814254,0.0010000001766195,0.2736148374434877,0.6499901600067665,2.469642880533147,0.0255735344929885,0.4405880179212406,0.2371342238697948,0.0617406771238196,0.0500000001560581,506.8170309404805,1033.6340618809609,1078.8549898626625,1033.9629109093614,0.3215812613462164,0.0001033424797004,,False,680,True,50,2,"['alpha_pos', 'alpha_neg', 't0']"
10156,0.0038161321598795,0.001,0.1447985216849396,0.6945728468493059,3.158187210481223,0.0366272391618997,0.4304936116075238,0.1610560254514119,0.0797257031999366,0.0500000000000014,271.2932950635212,562.5865901270423,607.9535061029553,562.9105960180585,0.6421133346555568,7.76086759027871e-05,,False,690,True,50,4,"['alpha_pos', 'alpha_neg', 't0']"
10157,0.0065573769792652,0.001,0.2451057579237126,0.4194732868443828,6.935840895061328,0.0438749535769213,0.556025137745297,0.2893281770956118,0.0560706118018206,0.05,391.88693569397066,803.7738713879413,848.8466485117914,804.1077105381689,0.467595729445909,0.0001184292043175,,False,670,True,50,1,"['alpha_pos', 'alpha_neg', 't0']"
10158,0.0031503538129833,0.0016046033904394,0.0321156195245161,0.8425013840914393,2.0373244996553046,0.1176130117241071,0.5501663489335147,0.107804606680233,0.1299435314711928,0.0500297881586906,-18.40792842864297,-16.815856857285944,28.920944812320503,-16.503800119697292,1.0234017018668855,2.640937650295872,,False,716,False,50,4,"['alpha_pos', 'alpha_neg', 't0']"
10159,0.0213918133945446,0.93808176250889,0.2789229075458539,0.998999999999166,2.4402065389197656,0.1473272191274148,0.3241304405897934,0.1441448764459172,0.077816519725344,0.0574083653733036,351.7100785905082,723.4201571810164,769.0304638399821,723.7362491350394,0.5471848515797901,9.999040327164e-06,,False,707,True,50,3,"['rho', 't0']"
10160,0.0029664216709803,0.001,0.2893979894852113,0.791885917542612,1.9879428154705423,0.0314753753764336,0.533915210263425,0.2078053339101896,0.0935925654891492,0.05,479.0310028714045,978.0620057428088,1023.7146554431624,978.3767410790034,0.3858692822761331,0.0001668417538385,,False,710,True,50,2,"['alpha_pos', 'alpha_neg', 't0']"
10162,0.0016945152937405,0.0010000000000025,0.1964048173770872,0.999,1.7728719883310526,0.0672195584062202,0.5129775757819658,0.2041667078617814,0.098519609383989,0.05,392.0164146073648,804.0328292147295,849.7276434188725,804.3462195281198,0.4995389648566153,9.054833600962938e-05,,False,713,True,50,3,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10163,0.0039321645873603,0.0010000000000158,0.2772019105614141,0.9985078429499848,1.3458133757263029,6.101521978699874e-37,0.4331738980845079,0.1378383527307074,0.1021318955079875,0.05,498.0203678780129,1016.0407357560258,1061.8193493332362,1016.3514702193028,0.3695164471464597,0.0001630727268483,,False,719,True,50,1,"['alpha_pos', 'alpha_neg', 'rho', 'kappa', 't0']"
