dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_epsilon,recovered_epsilon
0,33,1132.8131103515625,True,0.1970417963831441,0.3360147774219513,0.3107030255542946,0.34426942467689514,0.7768500285646952,0.8252769112586975,0.9708827732088454,0.9731619954109192,4.004447117214054,3.8717477321624756,0.14460970754614827,0.09560883790254593
0,34,1122.979248046875,True,0.014908415132785142,0.004985571838915348,0.23019671793885754,0.17599251866340637,0.132558573350948,0.33200883865356445,0.6773033562656318,0.5962120890617371,1.7309950277711867,2.5831146240234375,0.5063172717573917,0.478161096572876
0,35,1436.10986328125,True,0.6938739107716007,0.0010000000474974513,0.5809543760024606,0.9425970911979675,0.2003761003567375,0.19417130947113037,0.8035162771298981,0.7764490246772766,5.29244277769481,7.0,0.7385060359077107,0.6634901165962219
0,36,1233.8739013671875,True,0.1317956360541986,0.1634475439786911,0.12450629604304392,0.14924068748950958,0.9267074259044946,0.9563032388687134,0.39778303743729077,0.5159187912940979,2.8056921506856387,4.778107166290283,0.48860687726083024,0.2722885310649872
0,37,1046.1212158203125,True,0.6625384843380553,0.9681010246276855,0.954712010532876,0.9796820878982544,0.2868733344282909,0.2701670229434967,0.9239588124534031,0.4099365472793579,1.149156948317538,2.6307661533355713,0.555087646242171,0.48570501804351807
0,38,1161.051513671875,True,0.633707161457723,0.72706538438797,0.10668560894325178,0.0833582878112793,0.1410589178697848,0.16404221951961517,0.41927609067767124,0.6636294722557068,6.79739147285909,2.414984941482544,0.5958504681279041,0.552754282951355
0,39,770.1625366210938,True,0.9321571751570108,0.9596657752990723,0.8037521937817448,0.8141189217567444,0.4674468383521809,0.6181277632713318,0.784193922353683,0.35465583205223083,1.1070207038619264,2.917970895767212,0.10992570877220346,0.07921049743890762
0,40,1325.9412841796875,True,0.8287697576529709,0.015528550371527672,0.7962234541485114,0.9847730398178101,0.23317546048250082,0.10323412716388702,0.5307080514178554,0.479322224855423,4.636094924200066,6.395503997802734,0.8670034758684592,0.7802291512489319
0,41,1142.658935546875,True,0.6029009430240482,0.8113475441932678,0.41274642613513296,0.3491564691066742,0.3744356753203683,0.2779842019081116,0.42603032220076287,0.4494461119174957,4.9115861534798455,6.2138872146606445,0.8667556504888202,0.8303930163383484
0,42,776.7288818359375,True,0.4539890883121471,0.3846149742603302,0.2483438838254554,0.22406788170337677,0.237189038271586,0.235720694065094,0.7455222516829595,0.7353302240371704,5.899412580543462,5.742086410522461,0.10606752369441672,0.11858044564723969
0,43,761.9352416992188,True,0.06742573924126781,0.045065585523843765,0.5942447964289389,0.6135974526405334,0.1468808977043129,0.1330687552690506,0.8240148620754286,0.8618239760398865,2.8620080435444466,3.71368145942688,0.14458418910520035,0.16322290897369385
0,44,394.9538879394531,True,0.9201285315424753,0.8953654170036316,0.1662006592898076,0.16468502581119537,0.2851506421732597,0.29379594326019287,0.15430616840167452,0.15309423208236694,1.6929403819921298,1.5975311994552612,0.022105720303767156,0.019160546362400055
0,45,1021.7623291015625,True,0.05628461834593159,0.06486784666776657,0.175292187993981,0.17248037457466125,0.05427516876192104,0.07141542434692383,0.5909615284787493,0.6195197105407715,5.084287160797039,3.7896974086761475,0.3938431959183642,0.3997216820716858
0,46,919.3849487304688,True,0.3183551147581453,0.32837074995040894,0.5045171845481856,0.6041989326477051,0.8742549323501393,0.8648709654808044,0.8504293635685616,0.5781029462814331,1.2608503720767517,1.9393432140350342,0.18213541277733103,0.21293272078037262
0,47,1032.6533203125,True,0.23727138136218723,0.20290601253509521,0.2498888006805474,0.21100828051567078,0.5710901864392872,0.2256881296634674,0.4164299008517859,0.28808343410491943,1.295524719565564,1.8929144144058228,0.37386691018265245,0.38438835740089417
0,48,637.1787719726562,True,0.5237054428202019,0.5348607897758484,0.10246855909790854,0.1023065447807312,0.8327916366809825,0.8735858201980591,0.05285794273217405,0.10343797504901886,6.549051214108372,1.0627570152282715,0.09991491529671574,0.10708187520503998
0,49,1367.711669921875,True,0.8428878016945572,0.5314810872077942,0.9018478376397618,0.9005035758018494,0.9786115392254195,0.6751667857170105,0.8014218285130463,0.7815403342247009,5.676865244627973,1.9969780445098877,0.6421983094435566,0.8992558717727661
1,0,1408.8094482421875,True,0.6641074136585181,0.8120158910751343,0.4803422958378181,0.634414553642273,0.8994462114936767,0.9990000128746033,0.3086207474810451,0.0010000000474974513,2.6749610393151078,1.0419191122055054,0.8592744605083613,0.8782769441604614
1,1,1230.2139892578125,True,0.2653644040386732,0.0010000000474974513,0.8863314679772147,0.9990000128746033,0.8998418402617222,0.6216931343078613,0.6498736244973617,0.6819334626197815,4.524210095239778,6.070492267608643,0.8204042463474616,0.8524549007415771
1,2,1389.37890625,True,0.5689993859454137,0.6936997175216675,0.01896916068382376,0.28594884276390076,0.5418559664908246,0.5764803290367126,0.8917887591108522,0.9951384663581848,5.461156303784277,4.971065998077393,0.7197910622712809,0.7562226057052612
1,3,924.9562377929688,True,0.01263751680494354,0.012586130760610104,0.37622314332027307,0.3865470886230469,0.8473160492257071,0.962237536907196,0.02891719137955148,0.16054365038871765,1.4784623177413085,6.186967372894287,0.2536533525700423,0.10748378187417984
1,4,979.1467895507812,True,0.6810843712499934,0.9821987748146057,0.778321202939079,0.8983888626098633,0.2034174073471856,0.20862515270709991,0.8383255924406395,0.8703923225402832,3.896750858540213,3.439692735671997,0.33317221560276755,0.3169920742511749
1,5,772.416748046875,True,0.2890467270113982,0.2774566411972046,0.5421555839036124,0.5272510647773743,0.8578913630338733,0.8430125713348389,0.46546022537020876,0.48289239406585693,2.335928099163211,2.126793146133423,0.012394422957972162,0.0010000000474974513
1,6,1187.9210205078125,True,0.9112483475688381,0.8357524275779724,0.9467927172633879,0.9352766871452332,0.01647179422146016,0.9990000128746033,0.055442309906285854,0.21414825320243835,1.635278537529789,1.924830675125122,0.5317106840899171,0.4942375421524048
1,7,913.3842163085938,True,0.9076050607836081,0.6678832173347473,0.23850174003385752,0.3350669741630554,0.6202545862332172,0.6301522254943848,0.8832922413457441,0.8324887752532959,5.298063689214691,6.035364627838135,0.03750284254533904,0.055190566927194595
1,8,1433.091064453125,True,0.2081926459889241,0.27440816164016724,0.10410455123457256,0.1313084363937378,0.712060223314786,0.0010000000474974513,0.3472951297644991,0.22270190715789795,5.927017916184996,3.323787212371826,0.6537576519886842,0.7470411062240601
1,9,925.9661865234375,True,0.1265830289349912,0.08258485794067383,0.15648649747789678,0.11542577296495438,0.514096713848963,0.5589695572853088,0.6819206342044017,0.6557188630104065,4.7785043415832735,4.076568603515625,0.16985043218823664,0.13795973360538483
1,10,1089.4755859375,True,0.7882800138292405,0.8635206818580627,0.9602687617524799,0.9844933152198792,0.41896688449988684,0.43302860856056213,0.5947481712861178,0.5738449692726135,5.9282579101963995,5.283977031707764,0.3851915722323393,0.34786227345466614
1,11,1145.5101318359375,True,0.7282119855255113,0.799380898475647,0.8648501076822958,0.8469712734222412,0.6903017502465956,0.6957905292510986,0.2612394750521237,0.39186039566993713,4.771488329464175,2.4121854305267334,0.41121216151558454,0.37920475006103516
1,12,1338.3876953125,True,0.2441429220296785,0.9990000128746033,0.09215147671281292,0.2363099306821823,0.7915876345132005,0.9990000128746033,0.6840328546661372,0.933803141117096,1.8408760192236233,5.402709484100342,0.9670019755718701,0.2309507131576538
1,13,920.0528564453125,True,0.8748629790290753,0.8852233290672302,0.33553746809149976,0.347900390625,0.31773889910337827,0.2940603196620941,0.4268549144620434,0.5673336386680603,6.984137146928708,4.193163871765137,0.2448810385086398,0.22585254907608032
1,14,1329.750732421875,True,0.18790504799640317,0.2628100514411926,0.8752543543435392,0.9156278371810913,0.6840598336294965,0.6664262413978577,0.47025812794670985,0.5774940848350525,5.70034912685327,3.7465901374816895,0.5436369379116405,0.5915513634681702
