dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_kappa_total,recovered_kappa_total,true_kappa_share,recovered_kappa_share,true_epsilon,recovered_epsilon
0,20,1254.0970458984375,True,0.10852546406398476,0.14262782037258148,0.9151798214473327,0.86290442943573,0.23075356291309104,0.19610559940338135,0.03833773106382742,0.6285702586174011,4.3291148163489,1.834897756576538,0.37092228386243875,0.3372286856174469,0.8297897431324132,0.8897441625595093,0.8076349691201732,0.7577610015869141
0,21,408.137939453125,True,0.3175046150370699,0.23386602103710175,0.9519935962796054,0.3154986798763275,0.2913360024638384,0.18025480210781097,0.5150270149732511,0.6143226027488708,2.5357905434056165,3.114015579223633,0.9360435700489633,0.9405403137207031,0.16460781758201815,0.1741674691438675,0.04582079815354433,0.0010000000474974513
0,22,520.2870483398438,True,0.4352268658830319,0.32882270216941833,0.9913908129277254,0.5216547250747681,0.8908939117224041,0.8034186363220215,0.7481108034180353,0.9990000128746033,6.344754945271149,2.001192808151245,0.8934466396978632,0.9042235612869263,0.5188583603864491,0.4898867607116699,0.31629719372713144,0.13109028339385986
0,23,956.73486328125,True,0.771468407246766,0.8643704652786255,0.6613379406414256,0.7076194882392883,0.37391041341596265,0.1828896403312683,0.09527773472539224,0.18608683347702026,5.4807376680941555,1.8206064701080322,0.2624605159228647,0.2656960189342499,0.9368131505337792,0.9499321579933167,0.24148863385567337,0.23766477406024933
0,24,626.2440185546875,True,0.12351241654666305,0.06324797868728638,0.8304504467806563,0.7025805115699768,0.15397774799124506,0.0024049917701631784,0.1799097715414236,0.4207383096218109,4.596296749125061,6.047216892242432,0.8745620408374645,0.8686585426330566,0.19643466571457324,0.19506727159023285,0.3107030255542946,0.17085132002830505
0,25,1301.51416015625,True,0.7768500285646952,0.7796639800071716,0.9708827732088454,0.9793904423713684,0.5007397038299376,0.2977164387702942,0.14460970754614827,0.16114142537117004,1.0836177262492093,5.002269744873047,0.22965602999885526,0.2158389836549759,0.13182221778652103,0.018157759681344032,0.6773033562656318,0.6145768761634827
0,26,793.0482788085938,True,0.12258883961927407,0.15234825015068054,0.5063172717573917,0.5721542835235596,0.6938739107716007,0.822835385799408,0.5809543760024606,0.30647948384284973,2.1986539099603455,6.2381062507629395,0.8041245261822627,0.8110081553459167,0.7154071296158017,0.7448723912239075,0.7385060359077107,0.7647422552108765
0,27,1354.363525390625,True,0.1317956360541986,0.10846544057130814,0.12450629604304392,0.11018083989620209,0.9267074259044946,0.9990000128746033,0.39778303743729077,0.9990000128746033,2.8056921506856387,3.538613796234131,0.4885840453515333,0.44065919518470764,0.6628642127635824,0.6325612664222717,0.954712010532876,0.6063355803489685
0,28,1264.903564453125,True,0.2868733344282909,0.2238798290491104,0.9239588124534031,0.9585554003715515,0.025809772403483804,0.14104042947292328,0.555087646242171,0.5255222320556641,4.8038506700865105,4.998226642608643,0.1058974037507533,0.10474585741758347,0.14033959706391264,0.0,0.41927609067767124,0.4341825842857361
0,29,671.8639526367188,True,0.9652994483188954,0.861147940158844,0.5958504681279041,0.9990000128746033,0.9321571751570108,0.9380497932434082,0.8037521937817448,0.752062976360321,3.8042896093317493,5.659631729125977,0.7847634492521874,0.7842106223106384,0.017836783976987736,5.151091109212302e-09,0.10992570877220346,0.19156330823898315
0,30,604.2130737304688,True,0.8287697576529709,0.9257352352142334,0.7962234541485114,0.09361373633146286,0.23317546048250082,0.1474074274301529,0.5307080514178554,0.7651128768920898,4.636094924200066,6.121128082275391,0.8677389537760112,0.8563605546951294,0.6031071573387257,0.6140420436859131,0.41274642613513296,0.46091538667678833
