model,outcome,predictor,beta,se,ci_lower,ci_upper,t,p,r2,r2_adj,n,predictor_set
Q-Learning,alpha_neg,ies_total,-0.0006849352409757149,0.001009605641083642,-0.002680379964772004,0.0013105094828205744,-0.678418595443417,0.49858760137026337,0.0031641069294028323,-0.0037106233676358347,147,IES-R
Q-Learning,alpha_neg,intercept,0.11802706450779271,0.06330549076141653,-0.00710099006062892,0.24315511907621434,1.864404857907332,0.06430056020404776,0.003195381963341015,-0.010649126620501326,147,LESS + IES-R
Q-Learning,alpha_neg,lec_total,0.0003777959897565074,0.00562059410355862,-0.010731730170424149,0.011487322149937165,0.06721638011848424,0.9465026820601983,0.003195381963341015,-0.010649126620501326,147,LESS + IES-R
Q-Learning,alpha_neg,ies_total,-0.0006932519365172537,0.0010206169729603458,-0.0027105779970218644,0.001324074123987357,-0.679247900910804,0.4980711358749912,0.003195381963341015,-0.010649126620501326,147,LESS + IES-R
Q-Learning,epsilon,intercept,0.23171584558148572,0.029854814904266332,0.17270901117365617,0.2907226799893153,7.761422950519546,1.3806522052329322e-12,0.021137656345693978,0.014386881561871179,147,LESS
Q-Learning,epsilon,lec_total,-0.005065561439697711,0.002862700939522918,-0.010723574086543093,0.0005924512071476713,-1.7695042362832039,0.07891182313182671,0.021137656345693978,0.014386881561871179,147,LESS
Q-Learning,epsilon,intercept,0.1472473962379265,0.01898295694912438,0.10972834944899895,0.18476644302685402,7.756820848962549,1.4164999980819968e-12,0.03160898445931182,0.024930425731444994,147,IES-R
Q-Learning,epsilon,ies_total,0.0011248251164555337,0.000517036387343995,0.00010292360446626436,0.002146726628444803,2.1755240907390223,0.031211092984076164,0.03160898445931182,0.024930425731444994,147,IES-R
Q-Learning,epsilon,intercept,0.2010495705598619,0.031943355607347276,0.13791113034780453,0.2641880107719192,6.293940218153492,3.513600290749849e-09,0.059894142806753314,0.046837117012402674,147,LESS + IES-R
Q-Learning,epsilon,lec_total,-0.005903282323552435,0.002836098954689074,-0.011509044801584874,-0.00029751984551999646,-2.081479672559458,0.039160311361409655,0.059894142806753314,0.046837117012402674,147,LESS + IES-R
Q-Learning,epsilon,ies_total,0.0012547783269498231,0.0005149937314132141,0.00023685455838561584,0.0022727020955140304,2.436492427794291,0.016050860706966066,0.059894142806753314,0.046837117012402674,147,LESS + IES-R
WM-RL,alpha_pos,intercept,0.03691674356013915,0.028619929908369188,-0.019950447549153164,0.09378393466943147,1.28989636516698,0.20042830610836188,0.025294593236655838,-0.007560645193569249,93,
WM-RL,alpha_pos,ies_intrusion,0.005564576473958118,0.004239509331892385,-0.0028592382648701545,0.013988391212786392,1.3125520050392872,0.19270871828243755,0.025294593236655838,-0.007560645193569249,93,
WM-RL,alpha_pos,ies_avoidance,-0.00042251041244904163,0.0027027764963709084,-0.005792869740264252,0.004947848915366168,-0.1563245843732761,0.8761312309331539,0.025294593236655838,-0.007560645193569249,93,
WM-RL,alpha_pos,ies_hyperarousal,-0.005799773922343008,0.003983751997890955,-0.013715404286267927,0.00211585644158191,-1.4558571731908703,0.14895067526679107,0.025294593236655838,-0.007560645193569249,93,
WM-RL,alpha_neg,intercept,0.021335333143494613,0.023724501776984368,-0.025804746543772236,0.06847541283076146,0.899295308455854,0.3709221067612931,0.00176939802717202,-0.031878824511238024,93,
WM-RL,alpha_neg,ies_intrusion,-0.0008512288221201971,0.0035143428722587645,-0.007834153252060085,0.00613169560781969,-0.24221564402254497,0.8091703453075048,0.00176939802717202,-0.031878824511238024,93,
WM-RL,alpha_neg,ies_avoidance,0.00010247904661981056,0.0022404676040870494,-0.004349282359635028,0.004554240452874649,0.04574002606994576,0.9636199364870794,0.00176939802717202,-0.031878824511238024,93,
WM-RL,alpha_neg,ies_hyperarousal,0.00014714521890525607,0.003302332733015924,-0.006414519580279746,0.006708810018090258,0.04455796274982644,0.9645594721427468,0.00176939802717202,-0.031878824511238024,93,
WM-RL,phi,intercept,0.23998159365318064,0.042301874329012314,0.15592867041224162,0.32403451689411966,5.673072351042178,1.7225480191671355e-07,0.059108957036763665,0.02739352862227251,93,
WM-RL,phi,ies_intrusion,-0.005617781037898077,0.006266234457895836,-0.01806865543184939,0.006833093356053235,-0.8965162532051976,0.37239569324257593,0.059108957036763665,0.02739352862227251,93,
WM-RL,phi,ies_avoidance,-0.0007395245086241434,0.0039948564533505955,-0.008677219189016983,0.007198170171768696,-0.18511916942694748,0.8535567774901736,0.059108957036763665,0.02739352862227251,93,
WM-RL,phi,ies_hyperarousal,0.011607180517190518,0.0058882106599239216,-9.256864228413507e-05,0.023306929676665172,1.971257685495323,0.051800941427550984,0.059108957036763665,0.02739352862227251,93,
