participant_id,alpha_pos,alpha_neg,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10052,0.04359046742320061,0.0010000000474974513,0.2552688419818878,542.3814086914062,1090.7628173828125,1104.4543839624089,1090.796859936004,0.30367160227920986,9.443529961572494e-06,2089202816.0,True,0.011826658721773292,2.7659853172029924e-07,0.03896792087924335,0.020410642271078444,0.0009994579243371028,0.17889312050616446,0.06677029257532277,0.0010005421706577998,0.3316445634576112,709,True,50,13,['alpha_neg'],[]
10055,0.9990000128746033,0.027179080992937088,0.19892215728759766,413.4758605957031,832.9517211914062,846.6853052645694,832.9852876249727,0.4765480562204467,,,False,,,,,,,,,,719,True,50,11,['alpha_pos'],
10057,0.02710447646677494,0.0010000000474974513,0.14058418571949005,541.0053100585938,1088.0106201171875,1101.7148538514234,1088.0445184222722,0.30836481035288377,3.904278128175065e-05,2012439808.0,True,0.0034465738764724013,2.211800919047555e-07,0.03389558553369454,0.020349315798832434,0.0009995665424832208,0.07415005883855189,0.03385963713471745,0.0010004335525116818,0.20701831260042822,712,True,50,21,['alpha_neg'],[]
10058,0.04816848039627075,0.0010000000474974513,0.24306364357471466,531.8897094726562,1069.7794189453125,1083.4197751775941,1069.8140509799446,0.3053846803426631,2.164676334359683e-05,2684031488.0,True,0.010978806971940931,3.2586210893525334e-07,0.034529420130577096,0.026650414138049278,0.000999361369500012,0.1753872237117312,0.06968654665449223,0.0010006387254948906,0.3107400634376981,697,True,50,19,['alpha_neg'],[]
10059,0.0776260644197464,0.0014977781102061272,0.12601707875728607,388.07550048828125,782.1510009765625,795.8804096837072,782.1846144219406,0.5080201344884736,1.73412718140753e-05,2948.787109375,True,0.011734647877595006,0.003956855963127334,0.019070238233454016,0.054626577208400806,-0.0062575170695359965,0.08864009864311745,0.10062555163109199,0.00925307328994825,0.1633940588714547,718,True,50,11,['alpha_neg'],[]
10062,0.11032956838607788,0.4616488814353943,0.10353470593690872,276.76220703125,559.5244140625,573.2538227696447,559.5580275078781,0.6491367447247052,9.379767107020598e-06,7.310190677642822,True,0.026369874420010556,0.04013739796004429,0.015292815099524348,0.058645564246013145,0.38298102700055603,0.07356133911961067,0.16201357252614262,0.5403167358702325,0.13350807275420676,718,True,50,13,[],[]
10063,0.017773350700736046,0.0010000000474974513,0.14341941475868225,603.2144165039062,1212.4288330078125,1226.1372772690554,1212.4626835014656,0.22991665642542136,7.070741048664786e-06,1046873536.0,True,0.0030881505219686046,1.445336078384466e-07,0.06786080701691921,0.011720686898839011,0.0009997167668315324,0.010414677043697612,0.02382601450263308,0.0010002833281633702,0.2764241524736669,713,True,50,22,['alpha_neg'],[]
10064,0.05664907395839691,0.0010000000474974513,0.23583924770355225,502.5181884765625,1011.036376953125,1024.740610687361,1011.0702752582098,0.35756774263367197,8.984292435343377e-06,3107722752.0,True,0.01028751752280613,3.4008077711252994e-07,0.02735194632651718,0.036485910123372184,0.0009993335014224763,0.18223041799650594,0.07681223779342164,0.0010006665935724263,0.2894480774105985,712,True,50,15,['alpha_neg'],[]
10065,0.937384307384491,0.8511397838592529,0.15992172062397003,343.7097473144531,693.4194946289062,707.1530787020694,693.4530610624727,0.5648705221424013,4.205182904115645e-06,63228166144.0,True,1967.0612833496177,144.08556603170808,0.01808018470920756,-3854.4318864410047,-281.5513803303564,0.12448520976009142,3856.3066550557737,283.2536598980749,0.19535823148784864,719,True,50,31,[],[]
10066,,,,,,,,,,,False,,,,,,,,,,706,False,48,0,[],
10067,0.012770477682352066,0.0010000000474974513,0.09353788942098618,649.1357421875,1304.271484375,1317.9925248758818,1304.3051922401685,0.17476422354107812,2.309569254066446e-06,798398784.0,True,0.0024806365543079975,1.229677008580522e-07,0.10171988067491547,0.007908519377174853,0.000999759035232508,-0.10582941321355999,0.01763243598752928,0.0010002410597623947,0.29290519205553234,716,True,50,24,['alpha_neg'],"[('alpha_pos', 'epsilon', 0.900421679019928)]"
10071,0.06215925142168999,0.025206662714481354,0.13475152850151062,371.9573669433594,749.9147338867188,763.6524875227491,749.9482534397914,0.5297636305212803,2.569468051660806e-05,8.251214981079102,True,0.013248757670030446,0.010027300099197499,0.02073563753227277,0.03619216354853151,0.005553515657879347,0.094110425741779,0.08812633929484846,0.044859809771083364,0.17539263126124224,720,True,50,7,[],[]
10072,0.04960232973098755,0.07823259383440018,0.17384353280067444,402.3809509277344,810.7619018554688,824.4913105626134,810.7955153008469,0.48988450476067924,1.4700929568789434e-05,5.92672872543335,True,0.012982250515323712,0.023672320246699016,0.022515202083902595,0.024157586282676516,0.03183569872037178,0.12971454761158419,0.07504707317929858,0.12462948894842857,0.2179725179897647,718,True,50,27,[],[]
10074,0.034395284950733185,0.0010000000474974513,0.12442391365766525,450.599609375,907.19921875,920.9244462717988,907.2328793390603,0.427958940089463,7.662350981263444e-05,1546238720.0,True,0.0051081513044884995,2.139663005306799e-07,0.02742485033470341,0.024383492366354433,0.0009995806812545058,0.07067219472024533,0.04440707753511194,0.0010004194137403968,0.17817563259508518,717,True,50,24,['alpha_neg'],[]
10075,,,,,,,,,,,False,,,,,,,,,,717,False,49,0,[],
10076,0.017712390050292015,0.0010000000474974513,0.05271902680397034,551.8662719726562,1109.7325439453125,1123.4283388554186,1109.7665382795901,0.2924924949270049,0.00022137993073556572,911178176.0,True,0.0019383908228179278,1.1836218749228422e-07,0.037811787295074256,0.013913213849605916,0.000999768061872835,-0.021390714485464396,0.021511566250978116,0.0010002320331220676,0.12682876809340507,710,False,50,18,['alpha_neg'],[]
10077,0.09194213151931763,0.03918168693780899,0.2191777527332306,440.3575439453125,886.715087890625,900.4486719637881,886.7486543241914,0.4425163974407861,1.0187926818616688e-05,23.275619506835938,True,0.04046453349499973,0.020748193200154263,0.025712436910366333,0.012633103217903466,-0.0014840244787722168,0.16878230243415424,0.1712511598207318,0.0798473983543902,0.2695732030323069,719,True,50,14,[],[]
10078,0.06309034675359726,0.016406521201133728,0.18617571890354156,443.4467468261719,892.8934936523438,906.6270777255069,892.9270600859102,0.4386055300678142,4.6033852640903206e-07,13.541494369506836,True,0.017684207487270336,0.007609841327080141,0.024672648854294228,0.028429936983413832,0.0014915062719921632,0.13781821574592146,0.09775075652378068,0.031321536130275295,0.23453322206116167,719,True,50,28,[],[]
10079,0.07945458590984344,0.0010000000474974513,0.14447280764579773,386.4042053222656,778.8084106445312,792.5419947176944,778.8419770780977,0.5108202155522994,9.318471711594611e-06,68494012416.0,True,0.01593659262371089,1.821764558396164e-06,0.020478619360884937,0.048219438331083414,0.0009964294545746833,0.10433545124535859,0.11068973348860348,0.0010035706404202193,0.18461016404623687,719,True,50,15,['alpha_neg'],[]
10081,0.044668834656476974,0.0010000000474974513,0.1855013519525528,467.1793212890625,940.358642578125,954.0796830790069,940.3923504432936,0.4060824802985935,4.653161340684164e-06,3371663872.0,True,0.00667972226198836,3.418347039927429e-07,0.025624663033434535,0.03157681959624937,0.0009993300637889597,0.1352779352910462,0.05776084971670458,0.001000670031205943,0.2357247686140594,716,True,50,3,['alpha_neg'],[]
10083,0.03654405474662781,0.002019639126956463,0.11790183186531067,448.57220458984375,903.1444091796875,916.8104798551195,903.178743943636,0.41919201053747535,0.003738239873200655,858.200927734375,True,0.005879282212541537,0.0035966655441208675,0.027265280549548614,0.02502087335509943,-0.005029695803956594,0.06446286395981493,0.04806723613815618,0.009068974057869519,0.1713407997708064,703,False,50,16,['alpha_neg'],[]
10084,0.12316777557134628,0.8381611108779907,0.07347680628299713,229.84523010253906,465.6904602050781,479.41568772687697,465.72412079413846,0.7082090034973464,4.137541964155389e-06,55576108.0,True,0.03732470309182155,191.43094206631258,0.01296972207532935,0.05001270177772524,-374.3595908656683,0.04805661812585752,0.19632284936496733,376.03591308742426,0.09889699444013675,717,True,50,10,[],[]
10086,0.03231898322701454,0.0010000000474974513,0.11468248814344406,485.85589599609375,977.7117919921875,991.0489514503442,977.7501306503344,0.2980236586927406,0.00021051408839412034,101145688.0,True,0.004053332060234452,5.6461215281012985e-08,0.030773615969180927,0.024374598371573478,0.0009998893855489772,0.054367309169782774,0.040263368082455606,0.0010001107094459254,0.17499766711710535,630,False,50,9,['alpha_neg'],[]
10087,0.10404007881879807,0.0747792050242424,0.19387514889240265,399.30419921875,804.6083984375,818.3210473245188,804.6422012544014,0.49094909595837033,7.173388439696282e-06,13.499747276306152,True,0.03853040523696629,0.027265012417026144,0.022197672538964004,0.028521872244610655,0.02134076264883379,0.1503685101754194,0.17955828539298546,0.12821764739965102,0.23738178760938589,714,True,50,20,[],[]
10088,0.10943642258644104,0.9532198309898376,0.14814725518226624,337.6964111328125,681.392822265625,695.1305759016553,681.4263418186977,0.5730770554108475,2.345148823224008e-05,inf,True,0.040977003520894756,,0.01799565169665982,0.029122971491116326,,0.11287642597848586,0.18974987368176577,,0.18341808438604662,720,True,50,28,[],"[('alpha_pos', 'alpha_neg', -3042.998291015625), ('alpha_neg', 'epsilon', -10771.5029296875)]"
10089,0.03251127153635025,0.0010000000474974513,0.03897789120674133,384.50048828125,775.0009765625,788.7220170633819,775.0346844276686,0.5111907442866392,0.001247404725290835,2203455232.0,True,0.0035053381252794576,2.0982054765037117e-07,0.017819425512735017,0.02564093505716736,0.00099958880678084,0.004052458976586515,0.03938160801553314,0.0010004112882140625,0.07390332343689615,716,False,50,25,['alpha_neg'],[]
10090,0.9051826596260071,0.05632145702838898,0.8376662731170654,774.3389282226562,1554.6778564453125,1568.4114405184757,1554.711422878879,0.019702827298407888,1.6204634221139713e-06,5375646208.0,True,1380.2227274421964,0.0640929674416353,0.030204028470765754,-2704.281653770722,-0.0692984508195145,0.7784674651263421,2706.092019089974,0.18194136487629245,0.8968650811077887,719,True,50,16,[],[]
10092,0.6657239198684692,0.019642960280179977,0.1951615959405899,418.84783935546875,843.6956787109375,857.4083275979563,843.7294815278389,0.46603398687780995,9.375934496347327e-06,17206572.0,True,122.70356611328474,0.008126970489966448,0.020875495187943398,-239.82884643679904,0.0037143908164259005,0.15424637721278164,241.16029427653598,0.03557152974393406,0.23607681466839817,714,True,50,25,[],[]
10093,0.016379160806536674,0.0010000000474974513,0.0339452400803566,545.8914184570312,1097.7828369140625,1111.4870706482984,1097.8167352191472,0.3021182829233773,6.206155376276001e-06,7705501696.0,True,0.0019326086250596784,3.145042345131407e-07,0.04576328060219651,0.012591317505208232,0.0009993836305248202,-0.05574914171434904,0.02016700410786512,0.0010006164644700824,0.12363962187506224,712,True,50,14,['alpha_neg'],[]
10094,0.037934545427560806,0.0010000000474974513,0.3176622688770294,587.578369140625,1181.15673828125,1194.8483048608464,1181.1907808344415,0.24564614907021043,7.179708063631551e-06,2172899072.0,True,0.007960620766915725,2.671986052130336e-07,0.038717744820735436,0.02233201542982436,0.0009994763478545145,0.24177688346577575,0.05353707542529725,0.001000523747140388,0.3935476542882831,709,True,50,28,['alpha_neg'],[]
10095,0.0423881821334362,0.0010000000474974513,0.16816957294940948,486.8958740234375,979.791748046875,993.4959817811109,979.8256463519598,0.3775397137375115,6.087815108912764e-06,1806544000.0,True,0.006859375975989796,2.5401200934020725e-07,0.028599647962966417,0.028944052264076918,0.000999502193107504,0.11211529297147099,0.05583231200279549,0.0010004979018873987,0.22422385292734798,712,True,50,15,['alpha_neg'],[]
10097,0.028277939185500145,0.0010000000474974513,0.12600472569465637,492.8077392578125,991.615478515625,1005.3407060374238,991.6491391046853,0.37437526435460067,2.804555515467655e-05,12083891200.0,True,0.004848123417207186,5.49856378444256e-07,0.03900159886058487,0.018775791895168807,0.0009989223487990309,0.04956299658843161,0.03778008647583148,0.0010010777461958718,0.20244645480088114,717,True,50,28,['alpha_neg'],[]
10098,0.08151846379041672,0.04308240860700607,0.17027336359024048,394.6975402832031,795.3950805664062,809.0993143006422,795.428978871491,0.49540844969255926,8.261770744866226e-06,9.132403373718262,True,0.026652640931582067,0.015814916978006768,0.02261574696070523,0.029280247471637794,0.012085740911621779,0.12594731406378704,0.13375668010919564,0.07407907630239037,0.21459941311669392,712,True,50,13,[],[]
10099,0.05292481929063797,0.0010000000474974513,0.1560698300600052,436.64776611328125,879.2955322265625,893.0081811135813,879.3293350434639,0.44334184182732594,3.490532981231809e-05,3488064256.0,True,0.008348955511522196,3.7605121387888085e-07,0.023299585987732033,0.03656116717952728,0.000999263000661906,0.1104034806693563,0.06928847140174865,0.0010007370943329965,0.20173617945065409,714,True,50,12,['alpha_neg'],[]
10101,0.9990000128746033,0.01773425005376339,0.18925143778324127,410.9154968261719,827.8309936523438,841.5478412804258,827.8647489266053,0.476879155188759,,,False,,,,,,,,,,715,True,50,31,['alpha_pos'],
10102,0.033033501356840134,0.0010000000474974513,0.14782336354255676,475.0779113769531,956.1558227539062,969.8768632547882,956.1895306190748,0.39604113039210753,5.169795258552767e-06,1603792256.0,True,0.006430518851790751,2.2141929537766848e-07,0.03614724258602811,0.0204299160054244,0.000999566073653029,0.07697606993350918,0.045637086708255864,0.0010004340213418737,0.21867065715160433,716,True,50,27,['alpha_neg'],[]
10103,0.1898302584886551,0.48283442854881287,0.14889457821846008,335.2424621582031,676.4849243164062,690.2185083895694,676.5184907499727,0.5755899311719617,3.736364760698052e-06,234.30911254882812,True,0.19449406244745837,0.07505495393572956,0.018037667405236796,-0.19137109911524752,0.33572942197347017,0.11354139973908392,0.5710316160925577,0.6299394351241556,0.18424775669783625,719,True,50,26,[],"[('alpha_pos', 'alpha_neg', 0.9570538401603699)]"
10104,0.056674860417842865,0.0010000000474974513,0.33109039068222046,580.2945556640625,1166.589111328125,1180.305958956207,1166.6228666023867,0.2612491362749364,1.8102229660144076e-05,1734982400.0,True,0.013097950456023306,2.4326981599191857e-07,0.03287051295994307,0.031003349252747208,0.0009995232474195816,0.26666536912737493,0.08234637158293852,0.001000476847575321,0.395515412237066,715,True,50,30,['alpha_neg'],[]
10106,,,,,,,,,,,False,,,,,,,,,,719,False,49,0,[],
10107,,,,,,,,,,,False,,,,,,,,,,714,False,49,0,[],
10109,0.0372379794716835,0.0010000000474974513,0.11317159980535507,422.9461364746094,851.8922729492188,865.6258570223819,851.9258393827852,0.4645588815445657,9.063488505489659e-06,2549178880.0,True,0.004571691592265951,2.6398703072025e-07,0.022630970551419053,0.028277628602417663,0.0009994826424248539,0.06881571258938715,0.04619833034094934,0.0010005174525700487,0.157527487021323,719,True,50,9,['alpha_neg'],[]
10110,0.0372379794716835,0.0010000000474974513,0.11317159980535507,422.9461364746094,851.8922729492188,865.6258570223819,851.9258393827852,0.4645588815445657,9.063488505489659e-06,2549178880.0,True,0.004571691592265951,2.6398703072025e-07,0.022630970551419053,0.028277628602417663,0.0009994826424248539,0.06881571258938715,0.04619833034094934,0.0010005174525700487,0.157527487021323,719,True,50,9,['alpha_neg'],[]
10111,0.019869856536388397,0.0010000000474974513,0.1992269605398178,603.8280029296875,1213.656005859375,1227.364450120618,1213.689856353028,0.2291333318340163,4.761993750435067e-06,943578112.0,True,0.0030656460482354074,1.4929870614673097e-07,0.051304199114587064,0.013861300692499457,0.0009997074274104654,0.09867257801955544,0.025878412380277337,0.0010002926675844372,0.2997813430600802,713,True,50,9,['alpha_neg'],[]
10112,0.02259308658540249,0.0010000000474974513,0.1056193932890892,528.697509765625,1063.39501953125,1077.0781115289396,1063.4291589338104,0.31931936010099404,2.9170545531087555e-05,431897728.0,True,0.0031998468750799713,9.697227967371534e-08,0.03988966424548974,0.01632150195420271,0.000999809985321792,0.027437088012534208,0.02886467121660227,0.0010001901096731106,0.1838016985656442,707,True,50,27,['alpha_neg'],[]
10113,0.00948682613670826,0.0010000000474974513,0.4831930994987488,751.0709228515625,1508.141845703125,1521.7778946841283,1508.1765277840498,0.01773819546219646,3.3266567243117606e-06,215357280.0,True,0.0037427058008658847,1.45946436689004e-07,0.19681836289391919,0.002151257562281986,0.0009997139977378688,0.09743619673053261,0.016822394711134534,0.0010002860972570338,0.868950002266965,696,True,50,2,"['alpha_pos', 'alpha_neg']",[]
10114,0.031774550676345825,0.0037817712873220444,0.22279030084609985,544.9501342773438,1095.9002685546875,1109.5918351342839,1095.934311107879,0.3003737816998583,1.4994547200330999e-05,185.8800811767578,True,0.006055112507968248,0.0045404544912507235,0.039255015953529745,0.01990674823839006,-0.005117355988972507,0.1458518833646363,0.04364235311430159,0.012680898563616596,0.2997287183275634,709,True,50,38,['alpha_neg'],[]
10115,0.1394149363040924,0.015658874064683914,0.19738852977752686,418.71417236328125,843.4283447265625,857.1283620159722,843.4622909783305,0.46395208940977584,7.0471351136802696e-06,21.968914031982422,True,0.05770610649493731,0.009000786329213011,0.021981160266887224,0.026313045885982378,-0.0019823429731140665,0.15430624731602505,0.25251682672220244,0.033300091102481895,0.24047081223902866,711,True,50,17,[],[]
10116,0.11164651066064835,0.833521842956543,0.25001826882362366,448.98175048828125,903.9635009765625,917.6929096837072,903.9971144219406,0.4308066833788067,5.7850356824928895e-06,48260840.0,True,0.038116059273269144,113.48955102137472,0.022493364890739127,0.03694040725244688,-221.60191078055882,0.20593208374665722,0.18635261406884981,223.2689544664719,0.2941044539005901,718,True,50,39,[],[]
10117,0.06754843890666962,0.01653314381837845,0.0692296251654625,299.761474609375,605.52294921875,619.2397968468321,605.5567044930116,0.6183851009497093,2.7606172807281837e-05,7.988696575164795,True,0.010869382461945567,0.006768034551295104,0.014980806412269976,0.046244840747065,0.0032680398517173394,0.03986778413804664,0.08885203706627423,0.029798247785039558,0.09859146619287834,715,True,50,26,[],[]
10119,0.013734167441725731,0.0010000000474974513,0.12168240547180176,650.8893432617188,1307.7786865234375,1321.5122705966007,1307.812252957004,0.17598746532656895,2.1683936211047694e-06,833694016.0,True,0.00218018898860644,1.2850865658160652e-07,0.07685802296120178,0.009461075544566301,0.0009997481751588498,-0.028956551455106255,0.01800725933888516,0.0010002519198360528,0.27232136239870974,719,True,50,21,['alpha_neg'],[]
10120,0.07837510108947754,0.40692850947380066,0.25782477855682373,461.0008239746094,928.0016479492188,941.7184955773008,928.0354032234803,0.4131174356797438,1.3163695257389918e-05,13.871068954467773,True,0.02698032734457247,0.06949283286480501,0.02331242523346535,0.025494631203014304,0.2707250598751214,0.21213326470694888,0.13125557097594076,0.5431319590724799,0.3035162924066986,715,True,50,28,[],[]
10121,0.03358788043260574,0.0010000000474974513,0.19670966267585754,530.3317260742188,1066.6634521484375,1080.3634694378472,1066.6973984002054,0.3210566241948346,1.231162514159223e-05,1385249920.0,True,0.007207874886242128,2.191438937942901e-07,0.03969381436210439,0.019460705250500435,0.0009995705333581827,0.11891121611711421,0.04771505561471105,0.00100042956163672,0.2745081092346009,711,True,50,26,['alpha_neg'],[]
