participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa,phi_rl,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,phi_se,rho_se,capacity_se,kappa_se,phi_rl_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,phi_ci_lower,rho_ci_lower,capacity_ci_lower,kappa_ci_lower,phi_rl_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,phi_ci_upper,rho_ci_upper,capacity_ci_upper,kappa_ci_upper,phi_rl_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10099,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,714,False,48,0,[],
10101,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,715,False,48,0,[],
10102,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,716,False,49,0,[],
10103,0.0046145557425916195,0.0010000033071264625,0.0010000000474974513,0.9040336012840271,5.0,0.051488667726516724,0.0010000274050980806,0.0010000000474974513,319.9142761230469,655.8285522460938,692.4514431078621,656.0313691475022,0.594995099742522,1.9437413215637207,inf,True,0.0025245597976269636,8.79411593500805e-06,,0.03138114906165382,0.35180807113647466,0.017406255844726347,2.841726605946394e-05,5.8178419164309495e-05,-0.0003334905375749564,0.000982767156617977,,0.8425276793297027,4.310468851102004,0.017373033165163268,0.0009443305870824388,0.0008859724412579298,0.009562602022758195,0.001017239457634948,,0.9655395232383515,5.689531148897996,0.08560430228787018,0.0010557242231137224,0.0011140276537369728,719,False,50,4,"['alpha_pos', 'alpha_neg', 'phi', 'phi_rl', 'epsilon']","[('alpha_pos', 'phi', 520876.59375), ('alpha_neg', 'phi', -111.07540893554688), ('phi', 'rho', -323000.46875), ('phi', 'capacity', -502471.5), ('phi', 'kappa', -168631.078125), ('phi', 'phi_rl', -261.10748291015625), ('phi', 'epsilon', 98.74368286132812)]"
10104,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,715,False,49,0,[],
10106,0.020182203501462936,0.0010000000474974513,0.21521085500717163,0.7437471151351929,2.8110129833221436,0.05022488161921501,0.04072437807917595,0.013071299530565739,487.0252685546875,990.050537109375,1026.6734279711434,990.2533540107835,0.38343601697225804,5.474542376759928e-06,30603846.0,True,0.010905782963819862,5.517025446538724e-06,0.03518268155038213,0.15410654215977707,0.6938458566044349,0.02122695510530804,0.0258802971716478,0.033583487944090586,-0.00119273833083448,0.0009891868763204443,0.14625406628888082,0.4417038427200264,1.4511000935551084,0.008620814111362625,-0.010000072286447566,-0.05275112731508691,0.041557145333760356,0.0010108132186744583,0.28416764372546244,1.0457903875503594,4.170925873089178,0.0918289491270674,0.09144882844479946,0.07889372637621839,719,True,50,11,['alpha_neg'],[]
10107,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,714,False,48,0,[],
10109,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,719,False,48,0,[],
10110,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,719,False,48,0,[],
10111,0.05527183413505554,0.0010000000474974513,0.0010096151381731033,0.5923492312431335,1.0,5.322770649288489e-36,0.09005656093358994,0.16075399518013,578.647705078125,1173.29541015625,1209.8512615195643,1173.4999556107955,0.2612793274057409,7.3503979365341365e-06,inf,True,0.022596398472768103,7.559568505947275e-06,0.7514783065085479,0.37384723263703845,,2.0157269085536663e-05,0.024935194266940644,0.05470665819435165,0.01098370694811418,0.0009851835654871314,-1.4718608007817324,-0.14037788044542887,,-3.950752143433449e-05,0.04118447822287664,0.05353091540465775,0.0995599613219969,0.0010148165295077712,1.4738800310580786,1.325076342931696,,3.950752143433449e-05,0.13892864364430324,0.26797707495560225,713,True,50,36,"['alpha_neg', 'phi', 'capacity', 'kappa']","[('alpha_pos', 'capacity', 158370.3125), ('alpha_neg', 'capacity', 220.92987060546875), ('phi', 'capacity', -377868.34375), ('rho', 'capacity', 379756281856.0), ('capacity', 'kappa', 46.06850051879883), ('capacity', 'phi_rl', -239876.140625), ('capacity', 'epsilon', -201350.46875)]"
