participant_id,aic_M1,aic_M2,aic_M3,aic_M5,aic_M6a,aic_M6b,winning_model,m6b_nll,m6b_aic,m6b_n_trials,m6b_alpha,m6b_phi,m6b_rho,m6b_capacity,m6b_kappa_total,m6b_kappa_share,m6b_epsilon
10102,929.6585083007812,925.8125610351562,924.1759033203124,915.0792236328124,902.1180419921876,904.1181030273438,M6a,445.0590515136719,904.1181030273438,716,0.0126744303852319,0.2855303585529327,0.3584112226963043,2.0,1.0,5.7851486060878606e-39,0.1492065489292144
10103,497.47113037109375,499.2406921386719,462.3299560546875,464.3675537109375,501.2886657714844,464.3299865722656,M3,225.1649932861328,464.3299865722656,719,0.5214977860450745,0.9990000128746032,0.7876151204109192,2.0,1.0,1.0,0.0776932090520858
10104,1148.0535888671875,1133.19921875,1110.798095703125,1110.4627685546875,1089.237548828125,1087.1240234375,M6b,536.56201171875,1087.1240234375,715,0.0049335570074617,0.1371617913246154,0.1846678704023361,2.0,1.0,0.2613554000854492,0.1750446856021881
10106,926.0604248046876,899.7055053710938,894.3624877929688,888.5714721679688,885.050537109375,882.3119506835938,M6b,434.1559753417969,882.3119506835938,719,0.0090167000889778,0.1510460078716278,0.1927880048751831,2.0,0.9768517017364502,0.3416438996791839,0.0942488610744476
10107,855.8672485351562,802.3419189453125,789.4044189453125,786.45849609375,766.943115234375,764.5918579101562,M6b,375.2959289550781,764.5918579101562,714,0.0044565396383404,0.1364864259958267,0.2818221747875213,2.0,1.0,0.2488031089305877,0.0499864444136619
10109,754.5718994140625,700.2739868164062,695.2732543945312,690.0123291015625,673.19287109375,673.6707763671875,M6a,329.8353881835937,673.6707763671875,719,0.0010000000474974,0.1054412499070167,0.2794340550899505,2.999999761581421,1.0,0.1767841428518295,0.0683365389704704
10110,754.5718994140625,700.2739868164062,695.2732543945312,690.0123291015625,673.19287109375,673.6707763671875,M6a,329.8353881835937,673.6707763671875,719,0.0010000000474974,0.1054412499070167,0.2794340550899505,2.999999761581421,1.0,0.1767841428518295,0.0683365389704704
10111,1214.576416015625,1161.3958740234375,1150.2559814453125,1132.255859375,1126.8406982421875,1128.840576171875,M6a,557.4202880859375,1128.840576171875,713,0.003617072943598,0.2106953710317611,0.2665645182132721,2.0,0.7221188545227051,3.5486191892961094e-13,0.1545091420412063
10112,1229.6285400390625,1146.6875,976.47216796875,969.33203125,986.4527587890624,948.9686279296876,M6b,467.48431396484375,948.9686279296876,707,0.0010000000474974,0.0936185717582702,0.1322448402643203,2.0,1.0,0.5354890823364258,0.0010000000474974
10114,986.7537231445312,953.1746826171876,949.2455444335938,944.3313598632812,944.3472290039062,942.3576049804688,M6b,464.1788024902344,942.3576049804688,709,0.0081549575552344,0.1186174675822258,0.0932844653725624,2.0,0.6205689907073975,0.370499312877655,0.0241030137985944
10115,738.969970703125,737.4605102539062,684.4483032226562,684.6859130859375,722.5000610351562,686.4483032226562,M3,336.2241516113281,686.4483032226562,711,0.0070821838453412,0.0354273281991481,0.0837111100554466,6.0,1.0,1.0,0.0734477788209915
10116,789.6176147460938,735.7113647460938,743.3216552734375,740.5353393554688,735.793701171875,737.793701171875,M2,361.8968505859375,737.793701171875,718,0.0045271883718669,0.1194936037063598,0.217433676123619,4.553482055664063,1.0,1.2378560849957143e-11,0.1124352514743805
